game_id,date_time_utc,home_score,away_score,home_team_id,away_team_id,referee_id,stadium_id,home_manager_id,away_manager_id,expanded_minutes,season_name,matchday,attendance,knockout_game,last_updated_utc,extra_time,penalties,home_penalties,away_penalties,home_score_outlier,away_score_outlier,expanded_minutes_outlier,season_name_outlier,matchday_outlier,attendance_outlier,extra_time_outlier,penalties_outlier,home_penalties_outlier,away_penalties_outlier
Oa5w6k8AM1,2024-11-24 01:00:00 UTC,1,0,XVqKeVKM01,aDQ0lzvQEv,ljqEmaAqx0,xW5p3L0Mg1,jYQJJ1VQGR,9YqdzzjMvJ,106,2024,29,0,True,2024-11-24 03:26:25 UTC,,,,,False,False,False,False,False,False,False,False,False,False
315VzLr659,2024-11-17 20:00:00 UTC,3,2,XVqKeVKM01,4wM4rZdqjB,ljqEyb4qx0,vzqoJrj5ap,jYQJJ1VQGR,vzqo3mNqap,115,2024,28,14524,True,2024-11-17 23:01:03 UTC,,,,,False,False,True,False,False,False,False,False,False,False
EGMP8oPjMa,2024-11-16 17:00:00 UTC,1,1,aDQ0lzvQEv,raMyrr25d2,gpMO6A2Qzy,xW5pwORMg1,9YqdzzjMvJ,9vQ2r1LQK6,138,2024,28,19365,True,2024-11-17 15:07:38 UTC,1.0,1.0,3.0,0.0,False,False,True,False,False,False,False,False,False,False
9z5kzwJlMA,2024-11-10 20:00:00 UTC,2,1,raMyrr25d2,Pk5LeeNqOW,ljqEyb4qx0,NWMW84L5lz,9vQ2r1LQK6,XVqKEk0M01,109,2024,27,15540,True,2024-11-13 16:06:55 UTC,,,,,False,False,False,False,False,False,False,False,False,False
wvq9wl4ZMW,2024-11-10 17:30:00 UTC,2,1,aDQ0lzvQEv,315VnJ759x,0Oq6AZ756D,xW5pwORMg1,9YqdzzjMvJ,NPqxLwgq9d,137,2024,27,19215,True,2024-11-13 14:34:33 UTC,1.0,,,,False,False,True,False,False,False,False,False,False,False
vzqozgWj5a,2024-11-09 17:00:00 UTC,1,0,4wM4rZdqjB,zeQZeazqKw,KAqBE1B5bg,xW5p3L0Mg1,vzqo3mNqap,p6qbJw3q0G,108,2024,27,11500,True,2024-11-12 14:14:40 UTC,,,,,False,False,False,False,False,False,False,False,False,False
gOMnzWBmMw,2024-11-09 01:00:00 UTC,4,1,XVqKeVKM01,KPqjw8PQ6v,ljqEmaAqx0,vzqoJrj5ap,jYQJJ1VQGR,2lqRGexQr0,103,2024,27,11496,True,2024-11-12 14:28:53 UTC,,,,,False,False,False,False,False,False,False,False,False,False
wvq9w4lNMW,2024-11-03 22:30:00 UTC,3,1,7VqG1lYMvW,eV5DR6YQKn,a35rgwBqL6,BLMvra8Mxe,315Vx06Q9x,kRQa4GoqKZ,99,2024,26,2137,False,2024-11-07 15:57:43 UTC,,,,,False,False,False,False,False,False,False,False,False,False
2lqReN9a5r,2024-11-03 20:00:00 UTC,1,3,KPqjw8PQ6v,4wM4rZdqjB,KPqj32nQ6v,9YqdkYR5vJ,2lqRGexQr0,vzqo3mNqap,99,2024,26,5595,False,2024-11-06 12:16:40 UTC,,,,,False,False,False,False,False,False,False,False,False,False
vzqozWgN5a,2024-11-03 02:20:00 UTC,2,3,4JMAk47qKg,315VnJ759x,gpMO6A2Qzy,0x5g6ojM7O,KPqj16n56v,NPqxLwgq9d,105,2024,26,8176,False,2024-11-06 19:42:19 UTC,,,,,False,False,False,False,False,False,False,False,False,False
