player_id,team_id,season_name,general_position,minutes_played,shots,shots_on_target,goals,xgoals,xplace,goals_minus_xgoals,key_passes,primary_assists,xassists,primary_assists_minus_xassists,xgoals_plus_xassists,points_added,xpoints_added,season_name_outlier,minutes_played_outlier,shots_outlier,shots_on_target_outlier,goals_outlier,xgoals_outlier,xplace_outlier,goals_minus_xgoals_outlier,key_passes_outlier,primary_assists_outlier,xassists_outlier,primary_assists_minus_xassists_outlier,xgoals_plus_xassists_outlier,points_added_outlier,xpoints_added_outlier
eVq3zmy5WO,APk5LGOMOW,2016,FB,2934,21,6,2,1.5567,0.3275,0.4433,11,2,1.3312,0.6688000000000001,2.8879,1.8554,0.6681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
eVq3zmy5WO,APk5LGOMOW,2017,FB,1451,10,4,0,0.7104,-0.184,-0.7104,8,0,0.5447000000000001,-0.5447000000000001,1.2552,0.0,0.3488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
eVq3zwj5WO,NPqxKXZ59d,2022,FB,2143,18,6,3,2.9616,-0.2154,0.038400000000000004,7,0,0.34140000000000004,-0.34140000000000004,3.303,1.5551,1.6097000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN37Y5Kp,Z2vQ1xlqrA,2020,CB,1023,5,2,1,0.6214000000000001,0.4848,0.3786,1,0,0.0328,-0.0328,0.6542,0.5008,0.2298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN3W45Kp,X0Oq66zq6D,2019,GK,1975,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN3W45Kp,X0Oq66zq6D,2020,GK,504,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN614vMK,jYQJ8EW5GR,2023,ST,1331,37,10,4,4.193,-0.672,-0.193,5,1,0.5624,0.43760000000000004,4.7553,1.6167,2.7582,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN614vMK,jYQJ8EW5GR,2024,ST,1557,50,20,9,8.737400000000001,-1.5152999999999999,0.2626,17,2,1.0131000000000001,0.9869,9.7505,2.0814,2.6604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN694KMK,EKXMeX3Q64,2022,ST,6,1,0,0,0.13040000000000002,-0.13040000000000002,-0.13040000000000002,0,0,0.0,0.0,0.13040000000000002,0.0,0.0015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN69KMKp,EKXMeX3Q64,2018,ST,1916,73,31,12,11.0007,-1.5056,0.9993000000000001,45,6,3.9438,2.0562,14.9444,5.0663,6.5184,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
